Artist,Title,URI
Johnny Lawhorn And The Pentagram String Band,Blood so Warm,spotify:track:6ARYXFshML4hrYWFUOYiDv
Johnny Lawhorn And The Pentagram String Band,Blood on the Wall,spotify:track:1qbOUSjFVqalWEQS7iw37B
Johnny Lawhorn And The Pentagram String Band,Gasoline Rd.,spotify:track:2xKBhiPzILs7FpJgAJMDwF
LittleFoot,Casablanca,spotify:track:0Y1llaYB3bztdgXbErPTop
LittleFoot,Forever - Original Mix,spotify:track:05pm3smtEz62dhneEBBVdX
LittleFoot,Some Fat Kid At a Hardcore Show,spotify:track:0fd2Ygk0gglLFiuvKM36RG
"Yes Ma'am, The Bridge City Sinners",Dead Don't Sleep,spotify:track:3yILZBYFqrhVupHmBtYpbd
Yes Ma'am,Tell Me,spotify:track:490PqiGIKjjhWoXoEpLYul
"Yes Ma'am, Lightnin' Luke",Bad Dog Blues,spotify:track:5IeUfuXaU7hwh4v4Z0m6m5
Molly Possum,Disaster - Acoustic,spotify:track:4IfkNezqcqnQY6Jbv3yVaO
Willa Mae,Flirt with the Idea,spotify:track:13okC87CVbJMecAnzrue5k
Willa Mae,Heaven I Might Find,spotify:track:1LPeIGElm4U1hI66HY0EEa
Willa Mae,Gisele,spotify:track:6LbE5nm9kC0vd783eOgXb5
Lucille Klement,Summertime,spotify:track:0bZDMR8DQZEgKQn2iXjUJY
Lucille Klement,I've Been Running,spotify:track:5nY3DcXaqjpWO5h2FO96pF
Lucille Klement,Lighter,spotify:track:26ZxdSChBCGedrg9fsY8YD
Toothless Hags,Garden,spotify:track:3K8ma8wj1dWyK8gy5qS3vt
Toothless Hags,20th Century,spotify:track:1xXKyJYnIh6fzj8L8zKIZh
Jude Mauk,When I Call You,spotify:track:6Zdbf9ZV8m2UBH7X9jxBhO
Jude Mauk,Now and Then,spotify:track:38W2ePsRTXUriO8iqMReQw
Jude Mauk,you grow up!,spotify:track:7cbKGlDWap6LlrvwreeN9U
Sunkiller,Sunlight,spotify:track:6WoQZ8HVWf6HeG8JEbBjdS
Sunkiller,New Shadow,spotify:track:5UWk4OWIfPFzf56gBc13t6
The Lost Sound Department,Moon,spotify:track:1S7nD6bSbqZHAqWQ1rc2IT
The Lost Sound Department,Riverbed Blues,spotify:track:1qfqdLhlCCwJoPDPqYRxC4
The Lost Sound Department,Lizerd,spotify:track:6fvgJ5EfywYb3beVZrGEpu
Motocrossed,Yearning,spotify:track:1ekKjuh4tZ6hE2lX2fEvZR
Motocrossed,Drown (Country Grl),spotify:track:5itak0jkPryVCQhyal3AmP
Motocrossed,A Mouse in the Fields of Our Benefits,spotify:track:3ur7VIknB6mhvffKHYR7Af
20cats,never was,spotify:track:6PequVbZIrjMWqScL0w3Jy
20cats,worlds apart (it's cold and i love you),spotify:track:728tPxUwMeKtZgDtK4fJ61
20cats,taco bell and the ability to change,spotify:track:27ywHzyBXzWEQN6Vj5ejiZ
Run 40,Iron Fragmentation,spotify:track:494QEaxiE1fEP64LDK9Sn2
Run 40,Gasp,spotify:track:4iy7IFymIn4W91iL4c9t9R
Run 40,High Water,spotify:track:2VrGbriRXj8SCuvjr2FNxP
The Chewers,Hello Mr. Lizard,spotify:track:6rZndXn70HDnyggXPeIyBK
The Chewers,Dig the Pit,spotify:track:4bCxHWkxOlp5T5n24xLSxN
"The Chewers, Johnny Dowd",King Cockroach (feat. Johnny Dowd),spotify:track:1gwYPcHdJhT2tKnqH2Tjak
Hashtronaut,Rip Wizard,spotify:track:5FuUMKLFCsYUwc1bWt0O0G
Hashtronaut,Cough It Up,spotify:track:0hLqWE3WyjVM3thJx9X12d
Hashtronaut,Moonquake,spotify:track:2ZWcYBF2ihZ4BNJctzg5xg
"People I Love, Fish Hunt",Mystery,spotify:track:3COfgMzHCz14WAUt60AVuh
Fish Hunt,Go My Way,spotify:track:3ZrAIsXSqKWusQ8hqELVon
Fish Hunt,Sports are the Best,spotify:track:3TWceLeqYAtBrsf975OoDa
postcard nowhere,miss,spotify:track:21xIob7jppF4otgvEUhTrF
postcard nowhere,Rocket,spotify:track:3hOm187ocuiF69uPGIKNi0
postcard nowhere,"somewhere, in a dream",spotify:track:0cj79IpQDmgaeXc1OPqQCu
trichor,Pretend,spotify:track:3iV0vpRYczwllsNUimCvPV
trichor,Porcelain,spotify:track:0EOiP9pJNphyT2veRsj3ma
Speaker Girl,John Song,spotify:track:1ZKsUfNnL12O68pjNP5u8j
Speaker Girl,Paper Thin,spotify:track:7KxHS2mIkbRE0y5B2e87Bz
Speaker Girl,Pedal Boy,spotify:track:7ltczETbaQe4VnIl6fJaL9
"Analog Kid, Tungsten Husk",Alabaster,spotify:track:2YSeBn2qPF0qnXWldt1sQl
Analog Kid,Mr. Tree,spotify:track:6TjVpxFXh3ALytA68C99fP
Analog Kid,Reflection,spotify:track:6Tl06cJZPuLJTjoUQjJ03x
Child of Night,Controlled Burn,spotify:track:1uej5UUl6zirnKww4IF7av
"Child of Night, Inhalt",Controlled Burn - Inhalt Remix,spotify:track:18ZAjpMEltcHD7HYxtEWkK
Child of Night,The Fool,spotify:track:1r397D1b7MXO1hc08kaQD1
The New Romantics,Fire,spotify:track:7chncZBEOGhBrtfeJFgJVD
The New Romantics,Someone Like Me,spotify:track:4eA9F2uVQgoVnVJBoK0WMV
The New Romantics,Sunday Morning,spotify:track:1SNwR2ZvNsC9htfUW3wxzE
Shep Treasure,Scarecrow Blue Bow,spotify:track:6XccfGwzYT8Cm1GSUqbKBB
Shep Treasure,Fired and Expelled,spotify:track:74TslJJdbUMbbbzzexN8zU
Shep Treasure,Dove,spotify:track:6VLfFIv8MTaDGg6KKCBc3j
The Laurels,Tidal Wave,spotify:track:3V0azgHD72TWRAr58jpldY
The Laurels,Changing the Timeline,spotify:track:6Ea76Mq4mQUiaNV0plipXn
The Laurels,Hit and Miss,spotify:track:1WOmuMl4rXeCd4UBZLq1Zz
"Sects, Violets",Standing on the Corner,spotify:track:2IA7YRz7bQReRLIJRvvryX
Glad I Didn't Get My Stupid Wish,boston,spotify:track:51jK06mSOesoen4AwIjaBE
Glad I Didn't Get My Stupid Wish,white maoist,spotify:track:1lhXUpBBfW4USyLwyfmP02
Glad I Didn't Get My Stupid Wish,new cristal,spotify:track:1upDhGhDLvFnvUH2vbcyNQ
Antadie,Low Fidelity interlude,spotify:track:6p2VEJE3QVdrHecip3NABw
Antadie,Bend,spotify:track:29sGTwpmP1kemNiO2Z0sJV
Antadie,Stars That Glow,spotify:track:3itecyTbYxPqcswvQQ3w4X
The Montvales,Above the Tennessee,spotify:track:3JQruySd5wozuHB0zY1Qox
The Montvales,Born Strangers,spotify:track:50Xw9Zq5usYdfaSa3R0cCD
The Montvales,Carolina,spotify:track:1HlBPWDqpMeAVUSO6YMsW7
Blue Cactus,Finger on the Button,spotify:track:50VFQDQZoTelHkraVW7jL3
"Blue Cactus, Kate Rhudy",This Kind of Rain,spotify:track:5bgXwQcZpwJ56ConhDPkoz
"Blue Cactus, Erin Rae",Resolution,spotify:track:7enmtCGHaqFdRphbLIepCT
"Merce Lemon, Fust",Cup of Loneliness,spotify:track:3F81ZndWmQF7GDTX7Wz5gs
Fust,Spangled,spotify:track:0w3ptVGmlBJLWqwsrnrGnO
Fust,Open Water,spotify:track:5tEd6Ul0G3ZZ9CJ7ZO1ka7
"villagerrr, Merce Lemon",Neverrr Everrr,spotify:track:7FKlskl1w198kcL3urv4XW
"Merce Lemon, Fust",Cup of Loneliness,spotify:track:3F81ZndWmQF7GDTX7Wz5gs
Merce Lemon,Backyard Lover,spotify:track:6CNmpfcb6fIC83tVTnaopy
Pallbearer,I Saw the End,spotify:track:2SV69wiCCKzoFLDs6NWM5N
Pallbearer,Love You to Death,spotify:track:71frNHeQDPsS41mkYQCiex
Pallbearer,Devoid Of Redemption,spotify:track:0Jl3rJ8cngPViIqvjq5t94
Knoll,Offering,spotify:track:1aFJcC0fUZwsX1Rl1mRHDk
Knoll,As Spoken,spotify:track:2i1uopRSpWAguuAN0aERKW
Knoll,Wept Fountain,spotify:track:3aOlwL7CssqSaxtlTsif0P
Cece Coakley,Future Tense,spotify:track:6EUlfewAije5ka0bjx2SzI
Cece Coakley,Personified,spotify:track:4yd4nDCAiHzeu0BsetmtFN
Cece Coakley,865,spotify:track:1jEfkwe1r6Oz3KlJ4qoyVF
